# Example data for the SSA Toolbox, generated from Matlab using the command
#   [ X, A ] = ssa_toydata(10, 2, 2, 'mean_nonstat', 5); 
# The data consists of 10 epochs of 500 samples each, two stationary and 
# two non-stationary sources. The same data is contained in the Matlab file
# ssa_example.mat, where you can also find the true mixing matrix A. 
0.46073,0.49232,-0.3205,-0.26754
0.50974,2.6935,0.21059,-0.29061
0.56086,0.94699,0.37589,0.32719
0.067705,1.197,0.11866,-0.53603
0.33377,-0.20052,-0.3925,-0.29519
-0.22538,-1.6517,0.40774,1.0183
0.90859,-0.86976,-1.4056,-1.0113
-0.97579,-0.80581,0.90361,0.53053
0.5637,-1.0043,-1.0777,-1.0053
-0.54109,0.6461,0.96601,0.76865
-0.10567,-0.80836,-0.026886,0.083749
0.64654,-1.4243,-0.87737,-0.3504
1.0586,-0.95742,-1.3812,-0.67248
-0.76898,-0.14829,0.80142,0.4152
1.2464,-0.028788,-0.91807,-0.37305
0.73751,-1.5187,-1.6671,-1.2437
0.1206,0.17593,-0.44038,-0.53916
0.012678,-0.080668,0.070018,-0.046722
-0.006291,1.4184,0.24733,-0.17647
-0.078745,-0.40408,-0.088422,0.27593
0.19764,-0.3871,-0.63854,-0.88216
0.22157,-1.6365,-0.86341,-0.46577
0.87811,-2.0766,-1.5295,-0.83533
1.4721,-0.21038,-1.6998,-1.3665
0.57377,-0.63018,-0.93877,-0.83572
0.00039755,0.433,0.028497,-0.10905
0.7079,-1.4386,-1.3095,-0.52986
0.33338,2.0234,0.52634,0.099445
-0.69452,0.17019,0.52872,0.16197
0.98248,0.80934,-0.34652,-0.16642
0.43831,-0.56523,-0.67154,-0.19761
0.29266,-0.44727,-0.74026,-0.64558
0.61473,0.48439,-0.62277,-0.66057
0.39962,0.38363,-0.076064,0.083146
-0.61971,-1.3399,0.51589,0.66117
0.040544,-2.0189,-0.53913,0.080168
0.054342,-1.5016,-0.38442,-0.055252
-0.27272,-1.7911,-0.053049,0.13309
1.6035,-0.54791,-2.0918,-1.5474
-0.56398,-0.50571,0.30827,0.3337
-0.23188,-0.54681,-0.32473,-0.66892
-0.42524,-1.6828,-0.1185,0.0084713
-0.81692,0.99226,1.3189,0.94962
0.015205,0.35175,0.25339,-0.088925
-0.054139,-0.26289,0.51846,0.80131
1.4747,0.64063,-1.268,-0.84173
-0.032915,-1.2089,-0.77891,-0.72366
-0.72371,0.52889,1.27,0.8703
1.5369,-0.18305,-1.2965,-0.64735
1.2244,-0.094633,-1.3857,-1.0283
-0.016477,-1.04,-0.20343,0.13627
-1.0982,0.52837,1.4388,1.0205
-0.19867,-0.73212,0.10063,0.13623
0.045964,-1.2579,-0.21632,0.3381
0.41205,-1.728,-0.89832,-0.40426
-0.043201,1.0853,0.33629,-0.1239
0.55386,-1.3395,-0.89056,-0.47693
0.5102,-0.52062,-0.82745,-0.5324
-0.88172,-1.3725,0.8558,0.9776
